Edition_Year,RTG,Views
2025,2.2,4.7
2024,2.6,5.4
2023,2.2,4.59
2022,3.1,6.28
2021,3.1,6.13
2020,4.1,7.28
2019,3.8,6.797
2018,4.3,7.654
2017,4.2,7.751
2016,4.3,7.614
2015,4.3,7.175
2014,4.3,7.506
2013,4.6,8.02
2012,4.4,7.07
2011,5.2,9.093
2010,3.8,6.846
2009,4.5,7.621
2008,3.8,6.334
2007,4.2,6.843
2006,4.3,7.07
2005,4.9,8.082
2004,5.1,8.19
2003,6.6,10.829
2002,8.2,13.103
2001,5.1,7.755
2000,6.9,10.516
1998,10.6,16.931
1997,11.2,16.903
1996,11.7,17.459
1995,10.7,15.775
1994,9.1,13.67
1993,14.3,22.914
1992,12.8,18.828
1991,7.8,10.61
1990,9.5,13.2
